当,0,0.14206659,1,882.92,P,0,
我,0.14206659,0.25214541,1,50147.83,PN,0,
还,0.25214541,0.434344835,1,3884.93,AD,1,-0.30848
只有,0.434344835,0.66968576,1,206.16,AD,1,-0.30848
六,0.66968576,0.886047578,1,116.2,CD,0,
岁,0.886047578,1.060655361,1,344.48,M,0,
的,1.060655361,1.144163431,1,50155.13,DEG,0,
时候,1.144163431,1.577128691,1,1555.33,NN,1,-0.37484
在,2.157647735,2.336051339,1,12811.05,P,0,
一,2.336051339,2.438538516,1,6069.96,CD,0,
本,2.438538516,2.525842408,1,313.77,DT,0,
描写,2.525842408,2.928199472,1,3.76,VV,1,-0.18242
原始,2.928199472,3.25464011,1,12.91,VA,1,-0.23137
森林,3.25464011,3.689884032,1,24.92,NN,1,-0.1779
的,3.689884032,3.793179138,1,50155.13,DEG,0,
名,4.161179138,4.29721545,1,296.6,NN,1,-0.1403
叫,4.29721545,4.46423159,1,1032.83,VV,1,-0.15324
真实,4.46423159,4.836222084,1,85.4,VA,1,-0.33052
的,4.836222084,4.904546869,1,50155.13,DEG,0,
故事,4.904546869,5.219600042,1,195.28,NN,1,-0.38388
的,5.219600042,5.306903933,1,50155.13,DEG,0,
书,5.306903933,5.508082466,1,213.2,NN,1,-0.28162
中,5.508082466,5.705179138,1,1039.21,NR,1,-0.43828
看到,6.047638067,6.320937205,1,798.38,VV,1,-0.38467
了,6.320937205,6.400649454,1,28210.53,PU,0,
一,6.400649454,6.484157524,1,6069.96,CD,0,
幅,6.484157524,6.635990378,1,31.21,M,0,
精彩,6.635990378,6.969179138,1,73.12,VA,1,-0.31982
的,6.969179138,7.061122371,1,50155.13,DEG,0,
插画,7.061122371,7.467275257,1,0.66,NN,1,-0.156
画,8.021465177,8.241622816,1,113.13,NN,1,-0.40116
的,8.241622816,8.443350316,1,50155.13,DEG,0,
是,8.76219931,8.944398736,1,28253.52,VC,1,-0.45106
一,8.944398736,9.024110984,1,6069.96,CD,0,
条,9.024110984,9.198718767,1,372.86,NN,1,-0.086221
蟒蛇,9.198718767,9.726337937,1,1.1,NN,1,-0.14747
正在,9.873179138,10.10517914,1,198.32,AD,1,-0.19103
吞食,10.10517914,10.52725624,1,0.78,VV,1,-0.23176
一,10.52725624,10.65631417,1,6069.96,CD,0,
只,10.65631417,10.77557351,1,2167.08,AD,1,-0.41882
大,10.77557351,10.93879383,1,1343.24,VA,1,-0.1942
野兽,10.93879383,11.29939686,1,15.17,NN,1,-0.20128
页,12.10517914,12.46471401,1,33.21,NN,1,-0.21699
头,12.10517914,12.46471401,1,345.25,NN,1,-0.31605
上,12.46471401,12.68917914,1,3409.33,VV,1,-0.39342
就,12.92117914,13.06065797,1,8246.34,AD,1,-0.42919
是,13.06065797,13.15934932,1,28253.52,VC,1,-0.38561
那,13.15934932,13.29220307,1,5666.37,PN,0,
幅,13.29220307,13.42505682,1,31.21,M,0,
